User Name;Business Role ID
CP100-14;SAP_BR_MARKETING_EXPERT
CP100-15;CUSTOM_BUSINESS_OBJECTS
CP100-15;CUSTOM_BUSINESS_OBJECTS_UI
CP100-15;SAP_BR_ADMINISTRATOR
CP100-15;SAP_BR_MARKETING_EXPERT
CP100-16;CUSTOM_BUSINESS_OBJECTS
CP100-16;CUSTOM_BUSINESS_OBJECTS_UI
CP100-16;SAP_BR_ADMINISTRATOR
CP100-16;SAP_BR_MARKETING_EXPERT
CP100-17;CUSTOM_BUSINESS_OBJECTS
CP100-17;CUSTOM_BUSINESS_OBJECTS_UI
CP100-17;SAP_BR_ADMINISTRATOR
CP100-17;SAP_BR_MARKETING_EXPERT
CP100-18;CUSTOM_BUSINESS_OBJECTS
CP100-18;CUSTOM_BUSINESS_OBJECTS_UI
CP100-18;SAP_BR_ADMINISTRATOR
CP100-18;SAP_BR_MARKETING_EXPERT
CP100-19;CUSTOM_BUSINESS_OBJECTS
CP100-19;CUSTOM_BUSINESS_OBJECTS_UI
CP100-19;SAP_BR_ADMINISTRATOR
CP100-19;SAP_BR_MARKETING_EXPERT
CP100-20;CUSTOM_BUSINESS_OBJECTS
CP100-20;CUSTOM_BUSINESS_OBJECTS_UI
CP100-20;SAP_BR_ADMINISTRATOR
CP100-20;SAP_BR_MARKETING_EXPERT
DAICR;SAP_BR_ADMINISTRATOR
DAICR;SAP_BR_BPC_EXPERT
DAICR;Z_S4C_GENERIC_ROLE
DAWKES;SAP_BR_ADMINISTRATOR
DAWKES;SAP_BR_BPC_EXPERT
DITTUS;Z_S4C_GENERIC_ROLE
DOUGLASM;SAP_BR_GL_ACCOUNTANT_US
DOUGLASM;Z_S4C01_ROLE
ERKOC;SAP_BR_ADMINISTRATOR
ERKOC;SAP_BR_BPC_EXPERT
ERKOC;SAP_BR_INVENTORY_MANAGER
ERKOC;SAP_BR_PURCHASER
ESPINOSALI;SAP_BR_ADMINISTRATOR
ESPINOSALI;SAP_BR_BPC_EXPERT
ESSERS;Z_S4C_GENERIC_ROLE
FIELDSD;SAP_BR_ADMINISTRATOR
FIELDSD;SAP_BR_ANALYTICS_SPECIALIST
FIELDSD;SAP_BR_BPC_EXPERT
FIELDSD;SAP_BR_CONTROLLER
FIELDSD;SAP_BR_EMPLOYEE
FIELDSD;SAP_BR_PROJ_MANAGE_COMM
GLADEN;SAP_BR_ADMINISTRATOR
GLADEN;SAP_BR_BPC_EXPERT
GONCALVESAN;Z_S4C_GENERIC_ROLE
GRUNDK;Z_S4C01_ROLE
GULEA;SAP_BR_ADMINISTRATOR
GULEA;Z_S4C01_ROLE
GULEA;Z_S4C_PSC
HAASCHR;SAP_BR_ADMINISTRATOR
HAASCHR;SAP_BR_BPC_EXPERT
HOEFNAGELS;SAP_BR_ADMINISTRATOR
HOEFNAGELS;SAP_BR_ADMINISTRATOR_LCM
HOEFNAGELS;SAP_BR_BPC_EXPERT
HOEFNAGELS;SAP_BR_BUPA_MASTER_SPECIALIST
HOEFNAGELS;SAP_BR_LEGAL_COUNSEL
HY760-00;SAP_BR_ADMINISTRATOR
HY760-00;SAP_BR_ADMINISTRATOR_MKT
HY760-00;SAP_BR_BPC_EXPERT
HY760-00;SAP_BR_BUSINESS_ANALYST_MKT
HY760-00;SAP_BR_MARKETING_EXECUTIVE
HY760-00;SAP_BR_MARKETING_EXPERT
HY760-00;SAP_BR_MARKETING_MANAGER
HY760-01;SAP_BR_ADMINISTRATOR
HY760-01;SAP_BR_ADMINISTRATOR_MKT
HY760-01;SAP_BR_BPC_EXPERT
HY760-01;SAP_BR_BUSINESS_ANALYST_MKT
HY760-01;SAP_BR_MARKETING_EXECUTIVE
HY760-01;SAP_BR_MARKETING_EXPERT
HY760-01;SAP_BR_MARKETING_MANAGER
HY760-02;SAP_BR_ADMINISTRATOR
HY760-02;SAP_BR_ADMINISTRATOR_MKT
HY760-02;SAP_BR_BPC_EXPERT
HY760-02;SAP_BR_BUSINESS_ANALYST_MKT
HY760-02;SAP_BR_MARKETING_EXECUTIVE
HY760-02;SAP_BR_MARKETING_EXPERT
HY760-02;SAP_BR_MARKETING_MANAGER
HY760-03;SAP_BR_ADMINISTRATOR
HY760-03;SAP_BR_ADMINISTRATOR_MKT
HY760-03;SAP_BR_BPC_EXPERT
HY760-03;SAP_BR_BUSINESS_ANALYST_MKT
HY760-03;SAP_BR_MARKETING_EXECUTIVE
HY760-03;SAP_BR_MARKETING_EXPERT
HY760-03;SAP_BR_MARKETING_MANAGER
HY760-04;SAP_BR_ADMINISTRATOR
HY760-04;SAP_BR_ADMINISTRATOR_MKT
HY760-04;SAP_BR_BPC_EXPERT
HY760-04;SAP_BR_BUSINESS_ANALYST_MKT
HY760-04;SAP_BR_MARKETING_EXECUTIVE
HY760-04;SAP_BR_MARKETING_EXPERT
HY760-04;SAP_BR_MARKETING_MANAGER
HY760-05;SAP_BR_ADMINISTRATOR
